id_cliente,nombre_cliente,edad,genero,pais,ciudad,segmento,nivel_satisfaccion,ingresos_mensuales,compras_ultimos_6m,monto_total_compras,fecha_registro,canal_preferido,reclamos_ultimos_6m,tiempo_entrega_dias,estado_cliente,score_riesgo,email,telefono
C0045,Lucía Gómez,,F,Panamá,Managua,Sin segmento,Alto,638475,0,25673,sin fecha,llamada,1,8.3,ACTIVO,434.0,luciagomez@correo.com,41459332
C0046,Jorge Araya,51,F,Guatemala,Managua,Oro,5,1251472,3,25453,06/06/2025,Email,0,5.9,Activo,285.0,jorgearaya@correo.com,06403910
C0047,Alonso Castro,47,M,Guatemala,,Premium,Muy alto,626195,7,140170,2026-01-15,,2,5.9,Activo,681.0,alonsocastro@correo.com,
C0048,Diego Jiménez,48,F,Costa Rica,San José,Bronce,Muy alto,973895,10,468480,2024-10-08,Correo,1,0.5,,657.0,,68566246
C0049,Diego Hernández,28,F,El Salvador,Antigua,Oro,Bajo,611314,15,465864,2025-05-05,email,0,45,,827.0,diegohernandez@correo.com,73936385
C0050,Ricardo Chaves,29,M,Nicaragua,Puntarenas,Bronce,Medio,935596,12,309467,02/12/2025,WhatsApp,2,7.5,Activo,544.0,ricardochaves@correo.com,123
C0051,Jorge Soto,,M,El Salvador,San José,Bronce,4,790475,4,27931,2024-07-02,Email,1,4.8,Activo,401.0,jorgesoto@correo.com,15679334
C0052,María Solís,,F,Guatemala ,San Salvador,Bronce,Muy alto,1032865,12,301835,30/12/2025,Email,0,4.5,ACTIVO,760.0,mariasolis@correo.com,62185016
C0053,Emilio Alvarado,,M,Panamá,Ciudad de Guatemala,Premium,Muy alto,366360,6,202928,20/11/2024,Email,0,7.5,ACTIVO,412.0,emilioalvarado@correo.com,78886101
C0054,Esteban Solís,46,F,El Salvador,Cartago,Plata,Muy alto,687394,8,208978,05-22-2025,SMS,0,-3,,449.0,estebansolis@correo.com,57569245
C0055,Lucía Gómez,64,M,Nicaragua,Cartago,Premium,Medio,991224,5,36154,2025-12-10,email,2,5.6,Activo,630.0,luciagomez@correo.com,66179796
C0056,Kevin Chaves,27,F,Costa Rica,San Salvador,Bronce,Muy alto,"₡1,453,019",0,10725,01/04/2025,whatsapp,2,4.6,,0,kevinchaves@correo.com,11254573
C0057,Carlos Navarro,,,CR,San Salvador,Premium,Medio,675053,2,60529,21/07/2024,llamada,0,7.6,ACTIVO,701.0,sin correo,82553714
C0058,Emilio Solís,21,F,Salvador,Managua,Plata,Medio,756223,3,38259,06-26-2024,email,0,5.9,,622.0,emiliosolis@correo.com,72368876
C0059,Mateo Gómez,36,Male,Panamá,Liberia,Premium,Bajo,914995,8,198337,2025-03-11,Llamada,1,1.3,Pendiente,269.0,mateogomez@correo.com,17133959
C0060,Kevin Jiménez,42,M,El Salvador,Puntarenas,Oro,Bajo,788156,0,28157,23/11/2025,Email,1,5.7,,521.0,kevinjimenez@correo.com,16845775
C0061,Natalia Chaves,46,M,Guatemala,Puntarenas,Plata,Muy alto,5000,-2,28959,11/06/2024,SMS,0,7.9,,639.0,nataliachaves@correo.com,36110371
C0062,Ana Rojas,26,F,Guatemala,Cartago,PREMIUM,Medio,521719,0,36871,12-25-2024,Email,1,5.9,Bloqueado,515.0,anarojas@correo.com,21965652
C0063,Ricardo Alvarado,20,F,Panama,,Plata,Bajo,487826,300,8806641,01-09-2025,Email,2,4.3,Pendiente,260.0,ricardoalvarado@correo.com,00684866
C0064,Camila Castro,28,F,El Salvador,Managua,Premium,Medio,772566,13,307768,16/06/2024,,1,3.7,Inactivo,350.0,camilacastro@correo.com,41056481
C0065,Mateo Navarro,29,F,Guatemala,Alajuela,Bronce,Muy bajo,583427,7,229076,2025-03-05,App,0,2.7,ACTIVO,297.0,mateonavarro@correo.com,02380617
C0066,María Araya,22,M,El Salvador,Puntarenas,Plata,Medio,sin dato,9,209382,2025-05-18,,0,3.8,Activo,389.0,mariaaraya@correo.com,57191826
C0067,Jorge Soto,34,Masculino,Panamá,Liberia,Plata,Medio,800700,11,135113,03/12/2025,llamada,1,5.5,Bloqueado,447.0,jorgesoto@correo.com,56804420
C0068,Carlos Navarro,51,F,Guatemala ,Puntarenas,Oro,Bajo,1481078,13,291289,10/08/2025,Correo,,5.3,,379.0,carlosnavarro@correo.com,20999347
C0069,Luis Castro,32,M,El Salvador,Ciudad de Panamá,Oro,Muy alto,642289,150,6559512,04-28-2025,whatsapp,1,5.5,Activo,399.0,luiscastro@correo.com,03965223
C0070,Mónica Chaves,48,F,Nicaragua,Heredia,Premium,3,650143,5,114835,2026-03-03,Correo,2,5.2,ACTIVO,815.0,monicachaves@correo.com,45226752
C0071,Diego Monge,38,M,Guatemala,,Bronce,Alto,516096,3,79067,03-31-2024,email,1,45,ACTIVO,400.0,diegomonge@correo.com,10067626
C0072,Ricardo Solís,45,M,Guatemala,San José,Bronce,Medio,1210938,11,79518,03-17-2025,llamada,3,10.0,Pendiente,373.0,ricardosolis@correo.com,84443106
C0073,Luis Chaves,39,f,Nicaragua,Cartago,Premium,Alto,1284251,8,127552,15/02/2024,email,0,6.1,,341.0,luischaves@correo.com,58693806
C0074,Gabriela Hernández,29,F,El Salvador,Ciudad de Panamá,,Medio,513772,8,75714,2024-03-09,,0,1.9,Inactivo,525.0,gabrielahernandez@correo.com,99861622
C0075,Alonso Vargas,28,M,Panamá,Liberia,Premium,Muy alto,696479,7,253436,sin fecha,email,0,2.6,,661.0,alonsovargas@correo.com,47546913
C0076,Adriana Pérez,48,MASC,Panamá,Antigua,Bronce,Alto,1198546,1,20925,sin fecha,SMS,0,8.7,Bloqueado,535.0,adrianaperez@correo.com,41406029
C0077,Natalia Hernández,,F,Costa Rica,Heredia,Oro,Alto,771170,4,59758,06-07-2025,SMS,2,1.3,Activo,420.0,nataliahernandez@correo.com,54544432
C0078,Kevin Alvarado,,M,Nicaragua,Liberia,Bronce,Medio,555486,10,336530,11-04-2025,,0,4.1,activo,735.0,kevinalvarado@correo.com,51353465
C0079,Daniela Vargas,18,M,Costa Rica,Cartago,Premium,Medio,597155,9,132703,14/05/2025,llamada,0,120,inactivo,376.0,danielavargas@correo.com,27129666
C0080,Ana Mora,18,F,El Salvador,San Salvador,Oro,Bajo,681087,6,116984,2025-12-04,WhatsApp,3,8.1,inactivo,819.0,anamora@correo.com,33230982
C0081,Fabiola Ramírez,,M,Costa Rica,San José,Premium,Muy alto,827910,1,15456,20/05/2024,SMS,0,2.2,,318.0,fabiolaramirez@correo.com,
C0082,Lucía Hernández,51,No indica,Nicaragua,Ciudad de Panamá,premium,Muy alto,ND,8,150823,2024-02-16,email,1,2.8,,513.0,luciahernandez@correo.com,15521667
C0083,Kevin Cordero,21,FEM,Costa Rica,Heredia,Premium,Muy alto,1475525,0,33825,2025-03-27,Correo,80,3.3,Activo,652.0,kevincordero@correo.com,91637562
C0084,Ana Gómez,20,F,Nicaragua,Puntarenas,Premium,Medio,sin dato,7,234338,2025-02-26,,0,6.5,,621.0,anagomez@correo.com,37550375
C0085,Mónica Chaves,32,M,Panamá,San Salvador,Oro,Bajo,1549774,5,119021,08/08/2024,WhatsApp,0,6.2,inactivo,278.0,monicachaves@correo.com,17798270
C0086,Jimena Monge,19,M,ESA,Alajuela,Premium,Medio,1645941,8,191266,12-29-2025,email,1,3.0,activo,424.0,jimenamonge@correo.com,28851587
C0087,Fabiola Cordero,-1,F,costa rica,Liberia,Oro,Bajo,694331,2,53103,03-26-2026,whatsapp,1,7.8,Bloqueado,824.0,fabiolacordero@correo.com,80043973
C0088,Adriana Jiménez,31,M,Guatemala,Alajuela,Oro,5,559147,11,289114,03-19-2026,whatsapp,0,1.9,ACTIVO,824.0,adrianajimenez@correo.com,26886153
C0089,Fernando Torres,37,,CR,Ciudad de Guatemala,Plata,Alto,540704,16,593739,04/06/2025,email,0,5.2,Inactivo,299.0,fernandotorres@correo.com,88013361
C0090,Pablo Soto,-5,M,Panamá,Managua,Premium,Muy alto,,9,215231,2025-05-29,Llamada,1,4.2,activo,806.0,pablosoto@correo.com,07283268
C0091,Sebastián Chaves,35,F,Cost Rica,Antigua,Oro,Medio,605674,7,214226,16/07/2025,llamada,0,0.9,ACTIVO,368.0,sebastianchaves@correo.com,52314913
C0092,Emilio Torres,31,M,nicargua,Cartago,Oro,medio,659978,5,181404,05-23-2024,Correo,1,6.7,,785.0,emiliotorres@correo.com,99693084
C0093,Natalia Soto,28,F,Panamá,Antigua,Plata,Medio,805663,10,228828,2025-05-14,,0,2.4,Pendiente,795.0,nataliasoto@correo.com,70051844
C0094,Paula Solís,22,M,Nicaragua,Cartago,Oro,Muy alto,1434831,13,361083,2025-11-07,Correo,0,5.8,Activo,537.0,paulasolis@correo.com,60302992
C0095,Fabiola Monge,38,M,Nicaragua,Managua,Plata,Muy alto,1192858,10,269856,01-11-2026,Correo,0,3.6,Inactivo,481.0,fabiolamonge@correo.com,86291279
C0096,María Salazar,,M,Nicaragua,Puntarenas,Premium,Muy alto,469470,0,16476,26/03/2024,Correo,1,0,inactivo,597.0,correo@@mal,56512694
C0097,Gabriela Chaves,18,MASC,El Salvador,Ciudad de Guatemala,Oro,Alto,1204644,0,26437,04/06/2025,Email,2,8.4,Activo,281.0,gabrielachaves@correo.com,12796114
C0098,Pablo Solís,45,F,ESA,San Salvador,Oro,Medio,1113253,5,157779,02-19-2025,,0,5.7,Activo,580.0,pablosolis@correo.com,95543937
C0099,Camila Gómez,29,M,Costa Rica,Liberia,Premium,Medio,"₡798,979",9,86771,30/03/2026,App,0,7.3,Pendiente,408.0,camilagomez@correo.com,51827553
C0100,Pablo Jiménez,25,M,Guatemala,Cartago,Plata,Bajo,1268380,8,289438,11/08/2025,Correo,5,5.4,,383.0,,78085627
C0101,Lucía Rojas,42,F,El Salvador,Heredia,Oro,Muy alto,765990,8,82893,04-12-2024,App,0,5.6,activo,338.0,luciarojas@correo.com,02672885
C0102,Ricardo Monge,39,No indica,Panamá,San Salvador,Oro,Alto,690695,8,79087,18/10/2024,whatsapp,1,3.4,Bloqueado,297.0,ricardomonge@correo.com,22569961
C0103,Lucía Aguilar,23,M,Nicaragua,Puntarenas,Plata,Medio,1425828,1,26557,,Llamada,1,5.6,Activo,621.0,luciaaguilar@correo.com,64334722
C0104,Luis Chaves,40,F,El Salvador,Ciudad de Panamá,Premium,Muy alto,891126,4,112013,2025/99/99,email,0,-3,inactivo,818.0,,49308536
C0105,Diego Gómez,30,M,Costa Rica,Cartago,Oro,Bajo,600114,0,0,2024-01-23,Llamada,0,3.9,Activo,255.0,correo@@mal,56475705
C0106,Camila Solís,46,F,Nicaragua,Alajuela,Premium,Bajo,352425,10,24911,2026-01-15,SMS,1,8.2,Activo,429.0,correo@@mal,13650249
C0107,Luis Monge,36,FEM,Costa Rica,Ciudad de Guatemala,Bronce,,476280,2,18456,,,0,3.7,Pendiente,541.0,luismonge@correo.com,73928557
C0108,María Pérez,39,F,Costa Rica,Ciudad de Panamá,Oro,Medio,731035,11,180022,02-23-2025,,0,1.5,activo,813.0,sin correo,73109678
C0109,Luis Chaves,-1,MASC,Costa Rica,San Salvador,Premium,Bajo,ND,15,402474,2025-01-29,whatsapp,1,7.3,Pendiente,585.0,luischaves@correo.com,95761228
C0110,Ricardo Alvarado,23,M,Panamá,Antigua,Oro,Medio,683890,9,217896,01-17-2024,Llamada,80,4.8,Pendiente,439.0,ricardoalvarado@correo.com,
C0111,Camila Chaves,40,M,El Salvador,Cartago,Plata,Bajo,941362,5,208651,2025-03-02,SMS,0,6.0,Pendiente,257.0,camilachaves@correo.com,48058925
C0112,Luis Solís,53,m,Nicaragua,Antigua,Bronce,Alto,445533,6,72885,09-22-2025,App,0,3.9,Pendiente,661.0,luissolis@correo.com,66553559
C0113,Fernando Alvarado,43,F,GT,Heredia,Bronce,Medio,5000,0,6448,05-24-2024,whatsapp,0,3.8,Inactivo,276.0,fernandoalvarado@correo.com,94070164
C0114,Ana Torres,45,F,Costa Rica,Ciudad de Guatemala,Premium,Bajo,ND,2,24397,03-04-2024,,0,11.4,Pendiente,816.0,anatorres@correo.com,56216893
C0115,Jorge Torres,43,F,Guatemala,San Salvador,Plata,Medio,,5,155382,22/02/2026,,0,6.0,Bloqueado,810.0,jorgetorres@correo.com,42312209
C0116,Emilio Hernández,34,M,Guatemala,Managua,Premium,Medio,605943,9,282835,2024-07-28,,4,4.3,Activo,663.0,emiliohernandez@correo.com,66096569
C0117,Laura Vargas,18,Female,El Salvador,,Bronce,Muy alto,756772,10,212080,23/10/2025,whatsapp,0,4.3,Pendiente,787.0,lauravargas@correo.com,57027937
C0118,Mónica Vargas,49,F,Nicaragua,Ciudad de Panamá,Premium,Medio,1762856,12,378024,26/02/2026,llamada,0,7.8,inactivo,252.0,,78097339
C0119,Daniela Castro,32,Femenino,El Salvador,Cartago,PREMIUM,Muy bajo,1878283,7,126171,12-09-2025,Llamada,2,5.5,Inactivo,597.0,danielacastro@correo.com,45561681
C0120,Mónica Ramírez,28,F,CostaRica,San Salvador,Oro,Alto,547594,12,74694,2025-09-16,App,50,4.9,activo,728.0,monicaramirez@correo.com,sin telefono
C0121,Kevin Castro,,F,Panamá,,Plata,Alto,"1,584,595",13,101609,13/03/2026,,0,1.6,inactivo,657.0,,51240568
C0122,José Alvarado,49,F,Costa Rica,Alajuela,Oro,Alto,567550,13,56009,14/12/2024,WhatsApp,1,4.7,Inactivo,773.0,josealvarado@correo.com,23076810
C0123,Lucía Navarro,38,F,Costa Rica,Liberia,Plata,Alto,1607719,6,225642,16/07/2025,Email,4,4.1,inactivo,353.0,lucianavarro@correo.com,87020701
C0124,Paula Gómez,26,F,Nicaragua,Liberia,Bronce,Muy alto,897791,0,18140,2024-08-17,Llamada,1,7.6,activo,670.0,paulagomez@correo.com,57701715
C0125,Adriana Chaves,29,f,Costa Rica,San Salvador,Premium,Medio,1041761,6,178496,17/03/2026,email,0,2.2,Inactivo,809.0,adrianachaves@correo.com,99758172
C0126,Emilio Vargas,27,F,costa rica,Managua,Plata,Alto,692990,1,2012,03-21-2025,SMS,0,,inactivo,493.0,emiliovargas@correo.com,58008514
C0127,Mónica Monge,25,MASC,ESA,Ciudad de Guatemala,Oro,Medio,"₡234,887",10,360784,05-20-2024,,2,2.8,,808.0,monicamonge@correo.com,68765326
C0128,Esteban Hernández,31,M,Costa Rica,Managua,,Bajo,303072,4,78668,04-28-2025,App,4,5.0,activo,729.0,,80778795
C0129,José Mora,28,F,panamá,Managua,Oro,Bajo,708300,1,"₡30,011",2025-09-10,email,1,6.1,inactivo,355.0,josemora@correo.com,28051292
C0130,Diego Navarro,32,Male,Costa Rica,Alajuela,Oro,Medio,618344,5,245559,06-26-2025,SMS,0,5.2,Bloqueado,757.0,diegonavarro@correo.com,45441496
C0131,Laura Aguilar,,F,Costa Rica,San José,Oro,Alto,934467,0,19451,2025-09-11,Email,2,4.2,activo,361.0,lauraaguilar@correo.com,47174654
C0132,Adriana Mora,26,F,Panamá,Ciudad de Guatemala,Plata,Bajo,460677,11,405252,2025-05-24,email,0,6.0,,341.0,adrianamora@correo.com,08776618
C0133,Carlos Monge,18,MASC,Costa Rica,San Salvador,Oro,3,1124867,4,76277,06/12/2025,whatsapp,3,3.3,Activo,1200,carlosmonge@correo.com,18478700
C0134,Paula Vargas,38,Femenino,ESA,Alajuela,Bronce,Bajo,0,15,"₡545,733",26/04/2024,,1,6.5,Pendiente,452.0,paulavargas@correo.com,65198253
C0135,Lucía Castro,38,M,ESA,Managua,Premium,Bajo,1255251,9,165010,06/04/2025,Email,0,5.0,ACTIVO,680.0,luciacastro@correo.com,45608331
C0136,Esteban Araya,20,M,costa rica,San Salvador,Plata,Bajo,493119,7,error,2024-06-10,email,0,3.3,Bloqueado,606.0,estebanaraya@correo.com,53153136
C0137,María Salazar,30,M,El Salvador,Antigua,Oro,Medio,743489,7,89727,10-29-2024,SMS,2,5.3,Bloqueado,597.0,mariasalazar@correo.com,
C0138,Lucía Cordero,18,F,El Salvador,Antigua,Bronce,Muy alto,782904,2,44753,15/05/2024,WhatsApp,1,4.7,Inactivo,433.0,luciacordero@correo.com,90772625
C0139,Paula Aguilar,24,F,El Salvador,Cartago,Oro,Bajo,sin dato,7,114180,03-09-2024,Email,0,3.4,ACTIVO,318.0,paulaaguilar@correo.com,93355486
C0140,Fernando Navarro,19,F,El Salvador,Ciudad de Guatemala,Premium,2,ND,8,222062,24/01/2024,whatsapp,1,5.8,,502.0,correo@@mal,10385695
C0141,Gabriela Pérez,41,M,PAN,Cartago,Bronce,Muy alto,813568,3,134213,2024-06-06,Email,0,4.1,Activo,406.0,gabrielaperez@correo.com,05525782
C0142,Paula Salazar,37,M,El Salvador,Puntarenas,Oro,Medio,1986643,0,20881,26/01/2024,llamada,0,4.9,ACTIVO,615.0,paulasalazar@correo.com,43018718
C0143,Emilio Alvarado,29,m,Nicaragua,Puntarenas,Premium,Bajo,1165967,7,267552,2025-09-04,,0,2.8,Pendiente,451.0,emilioalvarado@correo.com,61064628
C0144,Valeria Gómez,38,M,Panamá,Liberia,Bronce,Muy alto,797125,4,83449,03-09-2024,llamada,1,3.3,Pendiente,627.0,valeriagomez@correo.com,
C0145,Fernando Gómez,44,F,Costa Rica,Ciudad de Panamá,Plata,Medio,1104111,9,156349,2024-05-27,Email,0,1.9,inactivo,803.0,fernandogomez@correo.com,83389888
C0146,Daniela Castro,0,M,panamá,Managua,premium,Bajo,593044,9,153023,14/02/2026,Llamada,0,1.4,ACTIVO,286.0,danielacastro@correo.com,14011939
C0147,Ana Castro,46,F,Panama,Ciudad de Panamá,Bronce,Medio,794396,14,556546,2025-02-21,App,0,0.5,,547.0,anacastro@correo.com,01571647
C0148,Diego Araya,18,,Nicaragua,Puntarenas,Bronce,Bajo,521397,15,438255,07-24-2024,Llamada,0,4.0,,549.0,diegoaraya@correo.com,94657967
C0149,Carlos Vargas,33,F,Costa Rica,Alajuela,Premium,Alto,,13,337478,09-24-2024,App,2,3.4,Pendiente,269.0,carlosvargas@correo.com,67567700
C0150,Mateo Cordero,46,M,Nicaragua,San Salvador,Plata,Muy alto,542178,13,301068,10/01/2025,Email,1,5.5,activo,478.0,mateocordero@correo.com,65033349
C0151,Carlos Aguilar,999,No indica,El Salvador,Antigua,Bronce,Muy alto,918186,13,357833,06-19-2024,Email,4,7.2,Inactivo,834.0,carlosaguilar@correo.com,34404963
C0152,Gabriela Aguilar,31,M,Panamá,San Salvador,Oro,Muy alto,570221,14,207137,11-07-2025,App,0,3.0,inactivo,762.0,gabrielaaguilar@correo.com,08357232
C0153,Jorge Aguilar,50,,Panamá,San Salvador,Premium,Medio,618306,0,9388,2024-05-19,Email,2,6.0,inactivo,762.0,jorgeaguilar@correo.com,00159416
C0154,Jimena Soto,35,M,El Salvador,Ciudad de Panamá,Bronce,Alto,617201,14,259932,26/03/2025,,1,5.3,Activo,819.0,jimenasoto@correo.com,34257540
C0155,Jimena Mora,26,F,Panamá,,Plata,Muy alto,1123573,0,15757,2024-10-07,Correo,4,8.3,ACTIVO,755.0,jimenamora@correo.com,12481569
C0156,Daniela Rojas,35,F,guate,San Salvador,Premium,Medio,1987430,0,23204,29/03/2026,Llamada,0,3.2,Activo,817.0,danielarojas@correo.com,08931734
C0157,Paula Alvarado,25,M,el salvador,Ciudad de Guatemala,Premium,Alto,613167,9,296711,sin fecha,Email,0,4.7,Activo,600.0,paulaalvarado@correo.com,72563669
C0158,Luis Aguilar,46,MASC,El Salvador,San José,Oro,Alto,512716,5,105522,10/05/2024,llamada,2,2.6,Activo,420.0,luisaguilar@correo.com,48562572
C0159,Valeria Soto,41,m,Nicaragua,Ciudad de Guatemala,Premium,Bajo,1198873,9,317730,06-22-2025,llamada,3,3.0,,307.0,valeriasoto@correo.com,16591520
C0160,Natalia Ramírez,32,F,Nicaragua,,Bronce,Alto,733412,7,129199,2024-04-01,llamada,0,5.6,,702.0,nataliaramirez@correo.com,76492515
